"country","Overall","Female","Male","Education 0-6 years","Education 6-12 years","Education ≥12 years","Rural","Urban"
"DEU","81.7 (77.8–85.7)","78.6 (74.8–82.5)","84.7 (80.7–89.0)","71.2 (67.8–74.8)","88.4 (84.2–92.8)","85.4 (81.4–89.7)","74.4 (70.8–78.1)","89.0 (84.7–93.4)"
"VNM","44.4 (42.3–46.5)","42.7 (40.7–44.8)","46.0 (43.9–48.2)","38.7 (36.9–40.5)","48.0 (45.7–50.3)","46.4 (44.2–48.6)","40.4 (38.5–42.3)","48.3 (46.0–50.6)"
"PHL","80.9 (77.0–84.9)","77.8 (74.0–81.8)","83.9 (79.9–88.2)","70.6 (67.1–74.1)","87.5 (83.3–92.0)","84.6 (80.5–88.9)","73.7 (70.1–77.4)","88.1 (83.8–92.6)"
"EGY","88.7 (84.4–93.1)","85.4 (81.2–89.6)","92.0 (87.6–96.7)","77.4 (73.6–81.2)","96.0 (91.3–100.8)","92.8 (88.2–97.5)","80.8 (76.8–84.8)","96.6 (91.9–101.4)"
"IRN","93.5 (89.1–98.2)","90.0 (85.7–94.6)","97.0 (92.4–101.9)","81.5 (77.6–85.6)","101.1 (96.3–106.2)","97.8 (93.2–102.8)","85.2 (81.1–89.4)","101.8 (97.0–107.0)"
"TUR","94.6 (90.1–99.6)","91.1 (86.7–95.8)","98.2 (93.5–103.3)","82.6 (78.6–86.9)","102.4 (97.5–107.7)","99.0 (94.2–104.1)","86.2 (82.1–90.7)","103.1 (98.1–108.4)"
"THA","148.8 (141.6–156.1)","143.2 (136.2–150.2)","154.4 (147.0–162.0)","129.7 (123.5–136.2)","161.0 (153.2–169.0)","155.6 (148.1–163.4)","135.5 (129.0–142.2)","162.1 (154.2–170.1)"
"ETH","219.4 (209.0–230.5)","211.1 (201.1–222.0)","227.7 (216.9–239.3)","191.3 (182.2–201.2)","237.4 (226.1–249.5)","229.5 (218.5–241.2)","199.8 (190.4–210.1)","238.9 (227.6–251.2)"
"GBR","120.8 (115.1–126.9)","116.3 (110.7–122.1)","125.4 (119.4–131.7)","105.4 (100.4–110.7)","130.7 (124.4–137.3)","126.4 (120.3–132.8)","110.0 (104.8–115.6)","131.6 (125.4–138.3)"
"ITA","45.2 (43.1–47.4)","43.5 (41.4–45.6)","46.9 (44.7–49.2)","39.4 (37.6–41.4)","48.9 (46.6–51.3)","47.2 (45.1–49.6)","41.1 (39.2–43.2)","49.2 (46.9–51.7)"
"FRA","81.7 (77.8–85.8)","78.6 (74.8–82.6)","84.8 (80.7–89.1)","71.3 (67.8–74.9)","88.4 (84.1–92.9)","85.4 (81.3–89.8)","74.4 (70.8–78.2)","89.0 (84.6–93.5)"
"KOR","26.9 (25.7–28.2)","25.9 (24.7–27.2)","27.9 (26.6–29.3)","23.5 (22.4–24.6)","29.1 (27.8–30.6)","28.2 (26.8–29.5)","24.5 (23.4–25.7)","29.3 (27.9–30.8)"
"ESP","87.6 (83.6–91.9)","84.3 (80.4–88.4)","90.9 (86.7–95.4)","76.4 (72.8–80.2)","94.8 (90.3–99.5)","91.7 (87.4–96.1)","79.8 (76.1–83.7)","95.4 (91.0–100.1)"
"COD","54.9 (52.3–57.7)","52.8 (50.4–55.5)","57.0 (54.3–59.9)","47.9 (45.7–50.3)","59.4 (56.6–62.4)","57.4 (54.7–60.3)","50.0 (47.7–52.5)","59.8 (57.0–62.8)"
"ZAF","201.3 (191.8–211.2)","193.7 (184.6–203.2)","208.9 (199.1–219.3)","175.6 (167.2–184.2)","217.8 (207.5–228.6)","210.5 (200.6–221.1)","183.4 (174.7–192.4)","219.2 (208.9–230.1)"
"UKR","42.2 (40.2–44.3)","40.7 (38.7–42.6)","43.8 (41.8–46.0)","36.8 (35.1–38.7)","45.7 (43.5–47.9)","44.2 (42.1–46.4)","38.5 (36.7–40.4)","46.0 (43.8–48.3)"
"MMR","68.6 (65.4–72.1)","66.1 (63.0–69.4)","71.2 (67.9–74.8)","59.9 (57.0–62.9)","74.3 (70.7–78.1)","71.8 (68.4–75.4)","62.5 (59.6–65.7)","74.8 (71.2–78.5)"
"COL","579.4 (552.7–607.5)","557.6 (531.8–584.6)","601.3 (573.6–630.6)","505.3 (482.0–530.3)","626.8 (598.0–657.6)","606.0 (578.0–635.7)","527.8 (503.3–553.6)","631.0 (602.1–661.8)"
"ARG","161.9 (154.0–170.0)","155.8 (148.1–163.7)","168.0 (159.8–176.5)","141.2 (134.3–148.4)","175.2 (166.5–184.0)","169.3 (161.0–177.8)","147.5 (140.3–154.8)","176.4 (167.7–185.2)"
